nombre,responsable,cargo,email,telefono,sector,web,evento,estado,fecha_contacto,notas
Google,,Event Manager,,Tecnología,https://www.google.com,MWC 2026,PENDIENTE,2026-02-15,Empresa tecnológica líder
Samsung,,Event Manager,,Tecnología,https://www.samsung.com,MWC 2026,PENDIENTE,2026-02-15,Empresa tecnológica líder
Telefónica,,Event Manager,,Telecomunicaciones,https://www.telefonica.com,MWC 2026,PENDIENTE,2026-02-15,Anfitrión del MWC
Microsoft,,Event Manager,,Tecnología,https://www.microsoft.com,MWC 2026,PENDIENTE,2026-02-15,Gigante tecnológico
GSMA,,Event Manager,,Telecomunicaciones,https://www.gsma.com,MWC 2026,PENDIENTE,2026-02-15,Organizadores del MWC
Asics,,Event Manager,,Deportes,https://www.asics.com,MWC 2026,PENDIENTE,2026-02-15,Marca deportiva
Custo Barcelona,,Event Manager,,Moda,https://www.custo-barcelona.com,MWC 2026,PENDIENTE,2026-02-15,Marca local
BMW,,Event Manager,,Automoción,https://www.bmw.com,MWC 2026,PENDIENTE,2026-02-15,Marca automotive
Sony,,Event Manager,,Tecnología,https://www.sony.com,MWC 2026,PENDIENTE,2026-02-15,Tecnología y entretenimiento
Jameson,,Event Manager,,Bebidas,https://www.jameson.com,MWC 2026,PENDIENTE,2026-02-15,Bebidas premium
Coca-Cola,,Event Manager,,Bebidas,https://www.coca-cola.com,MWC 2026,PENDIENTE,2026-02-15,Gigante de bebidas
Philip Morris,,Event Manager,,Tabaco/Tecnología,https://www.pmi.com,MWC 2026,PENDIENTE,2026-02-15,Transformación tecnológica
